Parcela	Tratamento	Planta	Bloco	avaliador	Angulodafolha	Formatodolimbofoliar	Divisaofoliar	Divisaofoliarincisao	Formatodoapice
27	F11B3P2	1	1	1	1	2	4	4	4
27	F11B3P2	2	1	1	1	6	4	2	4
27	F11B3P2	3	1	1	2	1	4	3	6
27	F11B3P2	4	1	1	2	1	4	3	6
27	F11B3P2	5	1	1	NA	NA	NA	NA	NA
27	F11B3P2	6	1	1	2	2	4	2	4
27	F11B3P2	1	1	2	3	3	2	2	6
27	F11B3P2	2	1	2	2	1	2	2	6
27	F11B3P2	3	1	2	2	1	2	2	6
27	F11B3P2	4	1	2	2	1	4	4	6
27	F11B3P2	5	1	2	1	2	4	4	NA
27	F11B3P2	6	1	2	2	2	4	4	6
27	F11B3P2	1	1	3	2	2	4	4	NA
27	F11B3P2	2	1	3	2	2	4	4	NA
27	F11B3P2	3	1	3	2	3	2	2	NA
27	F11B3P2	4	1	3	3	1	4	4	6
27	F11B3P2	5	1	3	NA	3	4	4	NA
27	F11B3P2	6	1	3	3	3	4	4	6
47	F11B3P2	1	2	1	NA	NA	NA	NA	NA
47	F11B3P2	2	2	1	2	1	2	3	6
47	F11B3P2	3	2	1	2	1	2	2	6
47	F11B3P2	4	2	1	2	5	2	2	4
47	F11B3P2	5	2	1	3	1	2	2	6
47	F11B3P2	6	2	1	2	1	2	2	4
47	F11B3P2	1	2	2	NA	NA	NA	NA	NA
47	F11B3P2	2	2	2	1	2	2	2	NA
47	F11B3P2	3	2	2	1	3	2	2	6
47	F11B3P2	4	2	2	1	3	2	2	6
47	F11B3P2	5	2	2	1	1	2	2	6
47	F11B3P2	6	2	2	1	5	2	2	NA
47	F11B3P2	1	2	3	NA	NA	NA	NA	NA
47	F11B3P2	2	2	3	3	NA	NA	NA	NA
47	F11B3P2	3	2	3	2	3	3	2	6
47	F11B3P2	4	2	3	2	4	2	2	6
47	F11B3P2	5	2	3	3	NA	NA	NA	NA
47	F11B3P2	6	2	3	3	6	2	2	6
76	F11B3P2	1	3	1	1	1	4	2	6
76	F11B3P2	2	3	1	1	2	4	2	4
76	F11B3P2	3	3	1	4	1	2	3	4
76	F11B3P2	4	3	1	2	2	4	2	6
76	F11B3P2	5	3	1	2	2	4	3	4
76	F11B3P2	6	3	1	3	1	4	3	4
76	F11B3P2	1	3	2	2	2	4	4	4
76	F11B3P2	2	3	2	1	2	4	4	NA
76	F11B3P2	3	3	2	2	3	4	4	4
76	F11B3P2	4	3	2	2	2	5	4	4
76	F11B3P2	5	3	2	2	2	4	4	NA
76	F11B3P2	6	3	2	1	3	4	4	NA
76	F11B3P2	1	3	3	NA	2	3	4	4
76	F11B3P2	2	3	3	NA	2	NA	NA	NA
76	F11B3P2	3	3	3	NA	2	3	4	4
76	F11B3P2	4	3	3	NA	2	3	4	4
76	F11B3P2	5	3	3	NA	2	NA	NA	NA
76	F11B3P2	6	3	3	NA	2	NA	NA	NA
123	F11B3P2	1	4	1	4	2	4	2	6
123	F11B3P2	2	4	1	4	1	4	2	6
123	F11B3P2	3	4	1	4	1	4	2	6
123	F11B3P2	4	4	1	4	2	4	2	6
123	F11B3P2	5	4	1	4	2	2	2	6
123	F11B3P2	6	4	1	2	1	4	2	6
123	F11B3P2	1	4	2	2	2	4	4	6
123	F11B3P2	2	4	2	2	2	4	4	NA
123	F11B3P2	3	4	2	2	2	4	4	6
123	F11B3P2	4	4	2	2	3	4	4	6
123	F11B3P2	5	4	2	2	2	4	4	6
123	F11B3P2	6	4	2	2	3	4	4	NA
123	F11B3P2	1	4	3	NA	2	3	4	4
123	F11B3P2	2	4	3	NA	2	NA	NA	NA
123	F11B3P2	3	4	3	NA	2	3	4	4
123	F11B3P2	4	4	3	NA	2	3	4	4
123	F11B3P2	5	4	3	NA	2	NA	NA	NA
123	F11B3P2	6	4	3	NA	2	NA	NA	NA
22	F11B3P4	1	1	1	3	1	2	1	6
22	F11B3P4	2	1	1	2	1	2	1	6
22	F11B3P4	3	1	1	1	2	2	2	6
22	F11B3P4	4	1	1	2	1	2	3	6
22	F11B3P4	5	1	1	4	3	2	3	6
22	F11B3P4	6	1	1	4	1	2	2	6
22	F11B3P4	1	1	2	2	1	2	2	6
22	F11B3P4	2	1	2	2	1	2	2	6
22	F11B3P4	3	1	2	2	3	2	2	6
22	F11B3P4	4	1	2	1	1	2	2	NA
22	F11B3P4	5	1	2	1	1	2	2	NA
22	F11B3P4	6	1	2	2	1	2	2	6
22	F11B3P4	1	1	3	2	3	2	2	6
22	F11B3P4	2	1	3	2	1	2	2	6
22	F11B3P4	3	1	3	2	3	3	2	6
22	F11B3P4	4	1	3	3	3	2	2	NA
22	F11B3P4	5	1	3	3	1	3	2	NA
22	F11B3P4	6	1	3	4	1	2	2	4
46	F11B3P4	1	2	1	1	1	2	2	6
46	F11B3P4	2	2	1	3	1	2	2	8
46	F11B3P4	3	2	1	NA	NA	NA	NA	2
46	F11B3P4	4	2	1	3	2	2	3	6
46	F11B3P4	5	2	1	2	1	2	2	6
46	F11B3P4	6	2	1	3	1	2	3	6
46	F11B3P4	1	2	2	1	1	2	2	6
46	F11B3P4	2	2	2	2	1	2	2	NA
46	F11B3P4	3	2	2	NA	NA	NA	NA	NA
46	F11B3P4	4	2	2	1	3	2	2	NA
46	F11B3P4	5	2	2	1	5	2	2	6
46	F11B3P4	6	2	2	2	1	2	2	6
46	F11B3P4	1	2	3	3	NA	NA	NA	NA
46	F11B3P4	2	2	3	3	NA	NA	NA	NA
46	F11B3P4	3	2	3	NA	NA	NA	NA	NA
46	F11B3P4	4	2	3	3	NA	NA	NA	NA
46	F11B3P4	5	2	3	3	3	2	2	6
46	F11B3P4	6	2	3	3	3	2	2	6
78	F11B3P4	1	3	1	2	3	2	2	4
78	F11B3P4	2	3	1	2	5	2	2	4
78	F11B3P4	3	3	1	3	1	2	2	4
78	F11B3P4	4	3	1	4	1	2	2	6
78	F11B3P4	5	3	1	3	1	2	2	4
78	F11B3P4	6	3	1	3	2	2	1	8
78	F11B3P4	1	3	2	1	3	2	2	NA
78	F11B3P4	2	3	2	1	5	2	2	NA
78	F11B3P4	3	3	2	1	5	2	2	4
